23:44:44.561446 Foll S0  term:0  INFO  initialize finished
23:44:44.561626 Foll S1  term:0  INFO  initialize finished
23:44:44.561667 Foll S2  term:0  INFO  initialize finished
23:44:44.561700 Foll S3  term:0  INFO  initialize finished
23:44:44.561719 Foll S4  term:0  INFO  initialize finished
Test: one client (3A) ...
23:44:44.566235 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.566334 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.566423 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.566546 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.566640 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.566734 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.566835 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.566939 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567036 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567126 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567215 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567308 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567390 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567481 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567584 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567685 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567775 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567865 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.567963 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568048 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568143 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568232 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568322 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568415 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568519 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568614 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568709 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568800 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568903 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.568987 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.569072 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.569160 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.569242 Foll S1  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.569315 Foll S3  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.569408 Foll S0  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.569509 Foll S4  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
23:44:44.569610 Foll S2  term:0  INFO  Start {Command = {Put 0  1832869113486674121 1}, index = -1, term = -1, isLeader = false}
